Date,AveragePrice,Total Volume,Small Bags,Large Bags,XLarge Bags,type,year,region
2015/12/27,1.33,64236.62,8603.62,93.25,0,conventional,2015,Albany
2015/12/20,1.35,54876.98,9408.07,97.49,0,conventional,2015,Albany
2015/12/13,0.93,118220.22,8042.21,103.14,0,conventional,2015,Albany
2015/12/6,1.08,78992.15,5677.4,133.76,0,conventional,2015,Albany
2015/11/29,1.28,51039.6,5986.26,197.69,0,conventional,2015,Albany
2015/11/22,1.26,55979.78,6556.47,127.44,0,conventional,2015,Albany
2015/11/15,0.99,83453.76,8196.81,122.05,0,conventional,2015,Albany
2015/11/8,0.98,109428.33,6266.85,562.37,0,conventional,2015,Albany
2015/11/1,1.02,99811.42,11104.53,283.83,0,conventional,2015,Albany
2015/10/25,1.07,74338.76,8061.47,564.45,0,conventional,2015,Albany
2015/10/18,1.12,84843.44,7877.86,327.8,0,conventional,2015,Albany
2015/10/11,1.28,64489.17,9866.27,257.63,0,conventional,2015,Albany
2015/10/4,1.31,61007.1,8379.98,376.77,0,conventional,2015,Albany
2015/9/27,0.99,106803.39,5888.87,145.59,0,conventional,2015,Albany
2015/9/20,1.33,69759.01,8489.1,778.26,0,conventional,2015,Albany
2015/9/13,1.28,76111.27,8665.19,621.49,0,conventional,2015,Albany
2015/9/6,1.11,99172.96,7762.87,227.23,0,conventional,2015,Albany
2015/8/30,1.07,105693.84,10218.93,87.8,0,conventional,2015,Albany
2015/8/23,1.34,79992.09,10745.79,134.57,0,conventional,2015,Albany
2015/8/16,1.33,80043.78,10297.68,145.54,0,conventional,2015,Albany
2015/8/9,1.12,111140.93,9116.34,109.55,0,conventional,2015,Albany
2015/8/2,1.45,75133.1,11768.52,78.5,0,conventional,2015,Albany
2015/7/26,1.11,106757.1,13061.53,131.16,0,conventional,2015,Albany
2015/7/19,1.26,96617,11103.49,183.99,0,conventional,2015,Albany
2015/7/12,1.05,124055.31,24290.08,108.49,33.33,conventional,2015,Albany
2015/7/5,1.35,109252.12,29663.19,235.77,0,conventional,2015,Albany
2015/6/28,1.37,89534.81,26311.76,350.32,0,conventional,2015,Albany
2015/6/21,1.27,104849.39,21662,213.65,0,conventional,2015,Albany
2015/6/14,1.32,89631.3,28343.14,659.45,0,conventional,2015,Albany
2015/6/7,1.07,122743.06,22314.99,460.22,0,conventional,2015,Albany
2015/5/31,1.23,95123.62,23222.49,458.52,0,conventional,2015,Albany
2015/5/24,1.19,101470.91,28761.81,593.32,0,conventional,2015,Albany
2015/5/17,1.43,109857.47,26285.43,372.01,0,conventional,2015,Albany
