Date,Location/Operator,Aircraft Type/Registration,Fatalities
17 Sep 1908,"Fort Myer, VirginiaMilitary - U.S. Army",Wright Flyer III?,1/2(0)
07 Sep 1909,"Juvisy-sur-Orge, France?",Wright ByplaneSC1,1/1(0)
12 Jul 1912,"Atlantic City, New JerseyMilitary - U.S. Navy",Dirigible?,5/5(0)
06 Aug 1913,"Victoria, British Columbia, CanadaPrivate",Curtiss seaplane?,1/1(0)
09 Sep 1913,Over the North SeaMilitary - German Navy,Zeppelin L-1 (airship)?,14/20(0)
17 Oct 1913,"Near Johannisthal, GermanyMilitary - German Navy",Zeppelin L-2 (airship)?,30/30(0)
05 Mar 1915,"Tienen, BelgiumMilitary - German Navy",Zeppelin L-8 (airship)?,21/41(0)
03 Sep 1915,"Off Cuxhaven, GermanyMilitary - German Navy",Zeppelin L-10 (airship)?,19/19(0)
28 Jul 1916,"Near Jambol, BulgeriaMilitary - German Army",Schutte-Lanz S-L-10 (airship)?,20/20(0)
24 Sep 1916,"Billericay, EnglandMilitary - German Navy",Zeppelin L-32 (airship)?,22/22(0)
01 Oct 1916,"Potters Bar, EnglandMilitary - German Navy",Zeppelin L-31 (airship)?,19/19(0)
21 Nov 1916,"Mainz, GermanyMilitary - German Army",Super Zeppelin (airship)?,27/28(0)
28 Nov 1916,"Off West Hartlepool, EnglandMilitary - German Navy",Zeppelin L-34 (airship)?,20/20(0)
04 Mar 1917,"Near Gent, BelgiumMilitary - German Army",Airship?,20/20(0)
30 Mar 1917,Off Northern GermanyMilitary - German Navy,Schutte-Lanz S-L-9 (airship)?,23/23(0)
14 May 1917,"Near Texel Island, North SeaMilitary - German Navy",Zeppelin L-22 (airship)?,21/21(0)
14 Jun 1917,"Off Vlieland Island, North SeaMilitary - German Navy",Zeppelin L-43 (airship)?,24/24(0)
17 Jun 1917,"Near Yarmouth, England?",Zepplin LZ-95 (air ship)L-48,14/16(0)
21 Aug 1917,Off western DenmarkMilitary - German Navy,Zeppelin L-23 (airship)?,18/18(0)
20 Oct 1917,"Near Luneville, FranceMilitary - German Navy",Zeppelin L-44 (airship)?,18/18(0)
07 Apr 1918,Over the MediterraneanMilitary - German Navy,Zeppelin L-59 (airship)?,23/23(0)
10 May 1918,"Off Helgoland Island, GermanyMilitary - German Navy",Zeppelin L-70 (airship)?,22/22(0)
11 Aug 1918,"Ameland Island, North SeaMilitary - German Navy",Zeppelin L-53 (airship)?,19/19(0)
16 Dec 1918,"Elizabeth, New JerseyUS Aerial Mail Service",De Havilland DH-497,1/1(0)
25 May 1919,"Cleveland, OhioUS Aerial Mail Service",De Havilland DH-461,1/1(0)
19 Jul 1919,"Dix Run, PennsylvaniaUS Aerial Mail Service",De Havilland DH-482,1/1(0)
