Date,Province,Total Confirmed Cases,Total Recovered,Total Deaths,Confirmed Cases,Recovered,Deaths
2020/1/22,Heilongjiang,0,0,0,0,0,0
2020/1/22,Hebei,1,0,0,1,0,0
2020/1/22,Hubei,444,28,17,444,28,17
2020/1/22,Shandong,2,0,0,2,0,0
2020/1/22,Guangxi,2,0,0,2,0,0
2020/1/22,Henan,5,0,0,5,0,0
2020/1/22,Ningxia,1,0,0,1,0,0
2020/1/22,Sichuan,5,0,0,5,0,0
2020/1/22,Chongqing,6,0,0,6,0,0
2020/1/22,Shanxi,1,0,0,1,0,0
2020/1/22,Hunan,4,0,0,4,0,0
2020/1/22,Guizhou,1,0,0,1,0,0
2020/1/22,Fujian,1,0,0,1,0,0
2020/1/22,Hongkong,0,0,0,0,0,0
2020/1/22,Liaoning,2,0,0,2,0,0
2020/1/22,Anhui,1,0,0,1,0,0
2020/1/22,Taiwan,1,0,0,1,0,0
2020/1/22,Jilin,0,0,0,0,0,0
2020/1/22,Beijing,10,0,0,10,0,0
2020/1/22,Jiangxi,2,0,0,2,0,0
2020/1/22,Yunnan,1,0,0,1,0,0
2020/1/22,Guangdong,26,0,0,26,0,0
2020/1/22,Zhejiang,10,0,0,10,0,0
2020/1/22,Tianjin,4,0,0,4,0,0
2020/1/22,Hainan,4,0,0,4,0,0
2020/1/22,Shanghai,9,0,0,9,0,0
2020/1/23,Guangdong,32,2,0,6,2,0
2020/1/23,Jiangxi,3,0,0,1,0,0
2020/1/23,Zhejiang,27,0,0,17,0,0
2020/1/23,Hainan,5,0,0,1,0,0
2020/1/23,Fujian,5,0,0,4,0,0
2020/1/23,Shaanxi,3,0,0,3,0,0
2020/1/23,Hongkong,2,0,0,2,0,0
2020/1/23,Xinjiang,2,0,0,2,0,0
2020/1/23,Heilongjiang,2,0,0,2,0,0
2020/1/23,Jiangsu,5,0,0,5,0,0
2020/1/23,Gansu,2,0,0,2,0,0
2020/1/23,Guizhou,3,0,0,2,0,0
2020/1/23,Beijing,22,0,0,12,0,0
2020/1/23,Chongqing,9,0,0,3,0,0
2020/1/23,Anhui,9,0,0,8,0,0
2020/1/23,Hunan,9,0,0,5,0,0
2020/1/23,Neimenggu,0,0,0,0,0,0
2020/1/23,Tianjin,4,0,0,0,0,0
2020/1/23,Taiwan,1,0,0,0,0,0
2020/1/23,Shanxi,1,0,0,0,0,0
2020/1/23,Ningxia,1,0,0,0,0,0
2020/1/23,Hubei,444,28,17,0,0,0
2020/1/23,Henan,5,0,0,0,0,0
2020/1/23,Yunnan,1,0,0,0,0,0
2020/1/23,Guangxi,5,0,0,3,0,0
2020/1/23,Shanghai,16,0,0,7,0,0
2020/1/23,Shandong,6,0,0,4,0,0
2020/1/23,Sichuan,8,0,0,3,0,0
2020/1/23,Liaoning,3,0,0,1,0,0
2020/1/23,Jilin,1,0,0,1,0,0
2020/1/23,Hebei,1,0,0,0,0,0
2020/1/24,Hainan,8,0,0,3,0,0
2020/1/24,Jiangsu,9,0,0,4,0,0
2020/1/24,Henan,9,0,0,4,0,0
2020/1/24,Guangxi,13,0,0,8,0,0
2020/1/24,Anhui,15,0,0,6,0,0
2020/1/24,Shandong,15,0,0,9,0,0
2020/1/24,Beijing,36,1,0,14,1,0
2020/1/24,Hunan,24,0,0,15,0,0
2020/1/24,Chongqing,27,0,0,18,0,0
2020/1/24,Zhejiang,43,1,0,16,1,0
2020/1/24,Guangdong,53,2,0,21,0,0
2020/1/24,Yunnan,5,0,0,4,0,0
2020/1/24,Shaanxi,5,0,0,2,0,0
2020/1/24,Sichuan,15,0,0,7,0,0
2020/1/24,Liaoning,4,0,0,1,0,0
2020/1/24,Jiangxi,7,0,0,4,0,0
2020/1/24,Shanghai,20,1,0,4,1,0
2020/1/24,Taiwan,1,0,0,0,0,0
2020/1/24,Gansu,2,0,0,0,0,0
2020/1/24,Xinjiang,2,0,0,0,0,0
2020/1/24,Hongkong,2,0,0,0,0,0
2020/1/24,Guizhou,3,0,0,0,0,0
2020/1/24,Jilin,3,0,0,2,0,0
2020/1/24,Neimenggu,2,0,0,2,0,0
2020/1/24,Tianjin,8,0,0,4,0,0
2020/1/24,Heilongjiang,4,0,1,2,0,1
2020/1/24,Hebei,2,0,1,1,0,1
2020/1/24,Hubei,549,31,24,105,3,7
2020/1/24,Fujian,10,0,0,5,0,0
2020/1/24,Qinghai,0,0,0,0,0,0
2020/1/24,Shanxi,1,0,0,0,0,0
2020/1/24,Ningxia,2,0,0,1,0,0
2020/1/25,Ningxia,3,0,0,1,0,0
2020/1/25,Sichuan,28,0,0,13,0,0
