CustomerID,Customer-Age,Gender,Membership,Company,Segment,Model,Car-Year,Car-Age,Fuel type,Servicing-Price,Payment-Method,TechSupport,Assistance,Churn
7590-VHVEG,39,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Card,Yes,Yes,Yes
5575-GNVDE,55,Male,Yes,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Cash,Yes,Yes,Yes
3668-QPYBK,25,Female,No,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Wallet,Yes,Yes,Yes
7795-CFOCW,24,Male,Yes,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Cash,Yes,Yes,Yes
9237-HQITU,34,Male,Yes,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Cash,Yes,Yes,Yes
9305-CDSKC,32,Female,No,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Card,Yes,Yes,Yes
1452-KIOVK,54,Male,Yes,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Cash,Yes,Yes,Yes
6713-OKOMC,44,Male,Yes,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Wallet,Yes,Yes,Yes
7892-POOKP,32,Female,No,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Cash,Yes,Yes,Yes
6388-TABGU,49,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Cash,Yes,Yes,Yes
9763-GRSKD,33,Male,Yes,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Card,Yes,Yes,Yes
7469-LKBCI,52,Female,No,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Cash,Yes,Yes,Yes
8091-TTVAX,39,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2017,3,Diesel,3500,Wallet,Yes,Yes,Yes
0280-XJGEX,27,Male,Yes,Maruti Suzuki,Hatchback,Ignis,2018,2,Petrol,3000,Cash,Yes,Yes,Yes
5129-JLPIS,34,Female,No,Maruti Suzuki,Suv,Breeza,2019,1,Petrol,4500,Cash,Yes,Yes,Yes
3655-SNQYZ,47,Male,Yes,Maruti Suzuki,Muv,Ertiga,2020,0,Cng,5000,Card,Yes,Yes,Yes
8191-XWSZG,48,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2005,15,Diesel,3500,Cash,Yes,Yes,Yes
9959-WOFKT,27,Female,No,Maruti Suzuki,Hatchback,Swift,2006,14,Petrol,3000,Wallet,Yes,Yes,Yes
4190-MFLUW,45,Male,Yes,Maruti Suzuki,Suv,Breeza,2007,13,Petrol,4500,Cash,Yes,Yes,Yes
4183-MYFRB,44,Male,Yes,Maruti Suzuki,Muv,Ertiga,2008,12,Cng,5000,Cash,Yes,Yes,Yes
8779-QRDMV,52,Female,No,Maruti Suzuki,Sedan,Dzire,2009,11,Diesel,3500,Card,Yes,Yes,Yes
1680-VDCWW,31,Male,Yes,Maruti Suzuki,Hatchback,Baleno,2010,10,Petrol,3000,Cash,Yes,Yes,Yes
1066-JKSGK,40,Male,Yes,Maruti Suzuki,Suv,Breeza,2011,9,Petrol,4500,Wallet,Yes,Yes,Yes
3638-WEABW,22,Female,No,Maruti Suzuki,Muv,Ertiga,2012,8,Cng,5000,Cash,Yes,Yes,Yes
6322-HRPFA,30,Male,Yes,Maruti Suzuki,Sedan,Ciaz,2013,7,Diesel,3500,Cash,Yes,Yes,Yes
6865-JZNKO,28,Male,Yes,Maruti Suzuki,Hatchback,Wagaon-R,2014,6,Petrol,3000,Card,Yes,Yes,Yes
6467-CHFZW,46,Female,No,Maruti Suzuki,Suv,Breeza,2015,5,Petrol,4500,Cash,Yes,Yes,Yes
8665-UTDHZ,22,Male,Yes,Maruti Suzuki,Muv,Ertiga,2016,4,Cng,5000,Wallet,Yes,Yes,Yes
