Score,Students (11th Grade),Students (12th Grade),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
5,897,1260,815,1889,1631,34,321,514,5,5,154,2704
4,1835,2608,1800,3787,3290,132,918,877,13,8,273,5587
3,2311,3282,2283,4657,3898,287,1347,992,19,10,307,6940
2,2252,3248,2374,4494,3211,450,1972,809,15,21,280,6868
1,901,1352,1072,1699,942,307,1074,292,13,10,87,2771
All,8196,11750,8344,16526,12972,1210,5632,3484,65,54,1101,24870
Average,2.95,2.93,2.87,2.98,3.11,2.29,2.55,3.15,2.72,2.57,3.12,2.94
5,5769,6396,8118,6776,8585,153,788,4443,11,7,733,14894
4,18585,21195,22244,25943,29999,976,3966,10367,75,49,2139,48187
3,30119,34631,30786,47150,46377,3305,10511,13051,183,97,3477,77936
2,25986,29963,21590,45639,31140,6083,16454,9477,268,136,2790,67229
1,7936,12645,7787,15943,6098,4935,9157,2057,146,55,734,23730
All,88395,104830,90525,141451,122199,15452,40876,39395,683,344,9873,231976
Average,2.87,2.8,3.01,2.73,3.03,2.05,2.29,3.14,2.32,2.47,2.93,2.84
5,27199,38937,39784,31619,42748,1405,6432,16956,87,78,2883,71403
4,15229,33814,25936,25041,31455,1597,6189,9069,72,66,1993,50977
3,13400,36373,25532,25707,31004,1960,7599,8105,108,73,1901,51239
2,6749,21469,14222,14728,16824,1386,4912,4276,87,42,1106,28950
1,17014,72777,43519,48368,42029,9031,24615,11013,367,192,3512,91887
All,79591,203370,148993,145463,164060,15379,49747,49419,721,451,11395,294456
Average,3.36,2.73,3.03,2.84,3.1,2.02,2.29,3.34,2.2,2.55,2.97,2.94
5,17903,33010,34020,20640,28740,764,3749,18354,47,44,2281,54660
4,4255,12725,9912,7645,9814,403,1815,4577,26,26,720,17557
3,4361,14667,10632,8957,10878,615,2411,4569,35,29,836,19589
2,1332,5063,3490,3068,3453,274,981,1476,19,14,271,6558
1,2649,11301,7480,6851,6612,913,3086,2917,35,18,592,14331
All,30500,76766,65534,47161,59497,2969,12042,31893,162,131,4700,112695
Average,4.1,3.67,3.91,3.68,3.85,2.94,3.18,4.07,3.19,3.49,3.81,3.81
5,8160,3434,9378,4645,6961,142,650,5438,17,14,593,14023
4,12850,6159,12543,9260,12189,337,1399,6605,21,21,923,21803
3,23413,12322,20487,19363,23358,1105,3783,9441,66,40,1609,39850
2,21081,12301,16709,19877,20626,1829,5431,6637,103,48,1545,36586
1,16630,13108,13464,19066,13626,3693,9305,3985,158,74,1327,32530
All,82134,47324,72581,72211,76760,7106,20568,32106,365,197,5997,144792
Average,2.69,2.46,2.83,2.45,2.72,1.79,1.96,3.09,2,2.25,2.65,2.64
5,2021,1181,2597,3525,67,       ,16,5763,2,6,75,6122
4,554,513,875,847,108,2,18,1459,       ,1,68,1722
3,450,853,825,814,396,25,75,959,3,2,114,1639
2,64,226,151,168,137,18,37,95,       ,       ,23,319
1,84,325,240,214,207,48,64,91,1,3,25,454
All,3173,3098,4688,5568,915,93,210,8367,6,12,305,10256
Average,4.38,3.65,4.16,4.31,2.66,1.8,2.45,4.52,3.33,3.58,3.48,4.24
