Date,Country,Province,New Confirmed,New Recovered,New Death
2020/3/1,China,Taiwan,1,0,0
2020/3/1,China,Sichuan,0,14,0
2020/3/1,China,Shanxi,0,2,0
2020/3/1,China,Qinghai,0,0,0
2020/3/1,China,Shandong,2,22,0
2020/3/1,China,Shaanxi,0,1,0
2020/3/1,China,Tianjin,0,2,0
2020/3/1,China,Shanghai,0,3,0
2020/3/1,China,Xinjiang,0,2,0
2020/3/1,Germany,Germany,51,0,0
2020/3/1,China,Yunnan,0,6,0
2020/3/1,China,Zhejiang,0,30,0
2020/3/1,France,France,43,1,0
2020/3/1,Iran,Iran,385,52,11
2020/3/1,Italy,Italy,240,4,8
2020/3/1,Korea,Korea,376,3,1
2020/3/1,Spain,Spain,17,0,0
2020/3/1,USA,USA,0,0,1
2020/3/1,China,Ningxia,0,0,0
2020/3/1,China,Xizang,0,0,0
2020/3/1,China,Neimenggu,0,3,0
2020/3/1,else,else,100,22,2
2020/3/1,China,Liaoning,1,7,0
2020/3/1,China,Anhui,0,5,0
2020/3/1,China,Beijing,2,5,0
2020/3/1,China,Chongqing,0,20,0
2020/3/1,China,Fujian,0,4,0
2020/3/1,China,Gansu,0,2,0
2020/3/1,China,Guangdong,0,33,0
2020/3/1,China,Guangxi,0,5,0
2020/3/1,China,Guizhou,0,0,0
2020/3/1,China,Hainan,0,2,0
2020/3/1,China,Macau,0,0,0
2020/3/1,China,Heilongjiang,0,41,0
2020/3/1,China,Henan,0,28,1
2020/3/1,China,Hong Kong,2,6,0
2020/3/1,China,Hongkong,0,0,0
2020/3/1,China,Hubei,570,2543,34
2020/3/1,China,Hunan,0,20,0
2020/3/1,China,Jiangsu,0,13,0
2020/3/1,China,Jiangxi,0,20,0
2020/3/1,China,Jilin,0,3,0
2020/3/1,China,Hebei,0,12,0
2020/3/2,China,Taiwan,1,3,0
2020/3/2,China,Sichuan,0,21,0
2020/3/2,China,Shanxi,0,2,0
2020/3/2,China,Qinghai,0,0,0
2020/3/2,China,Shandong,0,17,0
2020/3/2,China,Shaanxi,0,8,0
2020/3/2,China,Tianjin,0,0,0
2020/3/2,China,Shanghai,0,2,0
2020/3/2,China,Xinjiang,0,2,0
2020/3/2,Germany,Germany,13,0,0
2020/3/2,China,Yunnan,0,5,0
2020/3/2,China,Zhejiang,1,23,0
2020/3/2,France,France,30,0,0
2020/3/2,Iran,Iran,523,0,12
2020/3/2,Italy,Italy,566,33,5
2020/3/2,Korea,Korea,809,0,5
2020/3/2,Spain,Spain,26,0,0
2020/3/2,USA,USA,14,0,0
2020/3/2,China,Ningxia,1,0,0
2020/3/2,China,Xizang,0,0,0
2020/3/2,else,else,78,5,1
2020/3/2,China,Neimenggu,0,2,0
2020/3/2,China,Liaoning,0,0,0
2020/3/2,China,Macau,0,0,0
2020/3/2,China,Anhui,0,44,0
2020/3/2,China,Beijing,1,6,0
2020/3/2,China,Chongqing,0,8,0
2020/3/2,China,Fujian,0,8,0
2020/3/2,China,Gansu,0,1,0
2020/3/2,China,Guangxi,0,11,0
2020/3/2,China,Guizhou,0,2,0
2020/3/2,China,Hainan,0,0,0
2020/3/2,China,Guangdong,1,43,0
2020/3/2,China,Heilongjiang,0,14,0
2020/3/2,China,Hebei,0,2,0
2020/3/2,China,Jiangxi,0,19,0
2020/3/2,China,Jiangsu,0,7,0
2020/3/2,China,Hunan,0,21,0
2020/3/2,China,Jilin,0,5,0
2020/3/2,China,Hongkong,0,0,0
2020/3/2,China,Hong Kong,2,0,0
2020/3/2,China,Henan,0,7,0
2020/3/2,China,Hubei,196,2398,42
2020/3/3,China,Tianjin,0,13,0
2020/3/3,China,Qinghai,0,0,0
2020/3/3,China,Shaanxi,0,0,0
2020/3/3,China,Shandong,0,51,0
2020/3/3,China,Shanghai,1,2,0
2020/3/3,China,Shanxi,0,3,0
2020/3/3,China,Sichuan,0,8,0
2020/3/3,China,Taiwan,1,0,0
