Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
700070,"Polgar, Judit",HUN,F,1976,GM,2675,2646,2736,wi
8602980,"Hou, Yifan",CHN,F,1994,GM,2658,2621,2601,
5008123,"Koneru, Humpy",IND,F,1987,GM,2586,2483,2483,
4147103,"Goryachkina, Aleksandra",RUS,F,1998,GM,2582,2502,2441,
700088,"Polgar, Susan",HUN,F,1969,GM,2577,,,wi
8600147,"Xie, Jun",CHN,F,1970,GM,2574,,,wi
8603006,"Ju, Wenjun",CHN,F,1991,GM,2560,2610,2536,
14109336,"Lagno, Kateryna",RUS,F,1989,GM,2546,2521,2608,
14114550,"Muzychuk, Mariya",UKR,F,1992,GM,2544,2506,2326,
12801259,"Cmilyte, Viktorija",LTU,F,1983,GM,2538,2394,2435,wi
14111330,"Muzychuk, Anna",UKR,F,1990,GM,2535,2533,2505,
13601903,"Dzagnidze, Nana",GEO,F,1987,GM,2524,2447,2391,
5015197,"Harika, Dronavalli",IND,F,1991,GM,2515,2450,2422,
8603642,"Tan, Zhongyi",CHN,F,1991,GM,2510,2501,2510,
8605114,"Lei, Tingjie",CHN,F,1997,GM,2505,2527,2530,
13600036,"Chiburdanidze, Maia",GEO,F,1961,GM,2500,2432,2437,wi
13700090,"Saduakassova, Dinara",KAZ,F,1996,IM,2500,2412,2378,
4198026,"Kashlinskaya, Alina",RUS,F,1993,IM,2494,2384,2364,
12512214,"Khademalsharieh, Sarasadat",IRI,F,1997,IM,2494,2393,2431,
8602727,"Ruan, Lufei",CHN,F,1987,WGM,2491,,,wi
8601283,"Zhao, Xue",CHN,F,1985,GM,2486,2442,2407,
8600430,"Wang, Lei",CHN,F,1975,WGM,2484,,,wi
4134974,"Kosintseva, Nadezhda",RUS,F,1985,GM,2483,2516,2519,wi
13703544,"Abdumalik, Zhansaya",KAZ,F,2000,IM,2478,2462,2409,
13600079,"Ioseliani, Nana",GEO,F,1962,IM,2475,,,wi
13601458,"Javakhishvili, Lela",GEO,F,1984,IM,2475,2383,2332,
4133471,"Kosintseva, Tatiana",RUS,F,1986,GM,2475,2496,2506,wi
4147855,"Pogonina, Natalija",RUS,F,1985,WGM,2475,2499,2311,
4641833,"Paehtz, Elisabeth",GER,F,1985,IM,2473,2369,2396,
4128125,"Kosteniuk, Alexandra",RUS,F,1984,GM,2471,2517,2521,
4195752,"Girya, Olga",RUS,F,1991,WGM,2469,2471,2297,
8600350,"Qin, Kanying",CHN,F,1974,WGM,2466,,,wi
8600635,"Xu, Yuhua",CHN,F,1976,GM,2465,,,wi
1700030,"Cramling, Pia",SWE,F,1963,GM,2464,2396,2320,
2902257,"Stefanova, Antoaneta",BUL,F,1979,GM,2462,2461,2485,
